,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
239,2669285309,Carrera a la hora del almuerzo,2019-08-16T12:19:21Z,Run,12413.0,3592,3653,357.0,"[41.397664, 2.125054]",file.fit
240,2669285612,Carrera de tarde,2019-08-14T16:02:45Z,Run,9842.0,2407,2515,86.4,"[52.213026, 5.189246]",file.fit
241,2669285538,Ciclismo por la tarde,2019-08-11T17:51:39Z,Ride,47989.0,5495,5495,105.0,"[52.23226, 5.191125]",file.fit
242,2669285528,Carrera a la hora del almuerzo,2019-08-10T12:32:29Z,Run,7519.0,2435,2501,155.0,"[52.375362, 4.929699]",file.fit
243,2669284970,Carrera de tarde,2019-08-09T16:02:53Z,Run,10012.0,2328,2328,142.0,"[52.231777, 5.191005]",file.fit
244,2669286625,Carrera de tarde,2019-08-06T17:43:49Z,Run,8990.0,2420,2654,47.0,"[52.213724, 5.189605]",file.fit
245,2669287784,Ciclismo al anochecer,2019-08-05T18:19:02Z,Ride,47516.0,5574,6139,79.6,"[52.232367, 5.191083]",file.fit
246,2669287706,Ciclismo al anochecer,2019-08-04T18:20:48Z,Ride,41059.0,4800,4800,80.0,"[52.232569, 5.190624]",file.fit
247,2669286728,Carrera a la hora del almuerzo,2019-08-03T12:07:07Z,Run,10014.0,2482,2482,39.0,"[52.370988, 4.938483]",file.fit
248,2669287381,Carrera de noche,2019-08-01T18:02:35Z,Run,10344.0,2933,3271,61.0,"[52.212977, 5.189251]",file.fit
249,2669287429,Carrera de noche,2019-07-31T18:22:51Z,Run,9803.0,2549,2562,86.0,"[52.213004, 5.189231]",file.fit
250,2669286708,Ciclismo por la tarde,2019-07-29T17:46:34Z,Ride,58499.0,6942,8663,250.0,"[52.232383, 5.190943]",file.fit
251,2669288465,Entrenamiento a la hora del almuerzo,2019-07-28T12:32:31Z,Ride,28125.0,3589,3794,46.0,"[52.232352, 5.191433]",file.fit
252,2669288641,Entrenamiento a la hora del almuerzo,2019-07-27T11:19:50Z,Ride,28092.0,3172,3172,56.0,"[52.371581, 4.93727]",file.fit
253,2669288435,Ciclismo al anochecer,2019-07-26T20:28:27Z,Ride,24575.0,2869,2869,209.0,"[52.232411, 5.191036]",file.fit
254,2669288592,Ciclismo al anochecer,2019-07-26T18:19:03Z,Ride,26412.0,3599,3599,114.0,"[52.354431, 5.015342]",file.fit
255,2669288443,Ciclismo al anochecer,2019-07-24T18:24:42Z,Ride,9755.0,2670,2670,131.0,"[52.213092, 5.189314]",file.fit
256,2669288900,Ciclismo por la tarde,2019-07-23T17:26:28Z,Ride,53553.5,6474,6629,101.0,"[52.232357, 5.191363]",file.fit
257,2669288927,Ciclismo por la tarde,2019-07-21T17:35:36Z,Ride,50001.0,6336,6534,280.0,"[52.232383, 5.191348]",file.fit
258,2669289001,Entrenamiento a la hora del almuerzo,2019-07-21T12:05:58Z,Ride,27572.0,3428,3428,77.0,"[52.371537, 4.937295]",file.fit
259,2669288671,Carrera de noche,2019-07-09T18:51:35Z,Run,9859.0,2473,2473,76.0,"[52.213005, 5.189118]",file.fit
260,2669289868,Ciclismo al anochecer,2019-07-07T20:06:29Z,Ride,27994.0,2994,3023,53.0,"[52.232389, 5.19119]",file.fit
261,2669289803,Entrenamiento a la hora del almuerzo,2019-07-07T12:31:59Z,Ride,27958.0,3246,3246,67.0,"[52.366782, 4.93954]",file.fit
262,2669290047,Ciclismo por la tarde,2019-07-04T17:04:14Z,Ride,53769.0,6037,6158,120.0,"[52.232321, 5.190919]",file.fit
263,2503467758,Carrera de tarde,2019-07-03T16:35:43Z,Run,9940.0,2717,2741,63.0,"[52.212991, 5.189436]",file.fit
264,2503467949,Carrera nocturna,2019-06-29T03:12:39Z,Run,11857.0,3162,3509,64.0,"[51.9875, 5.082179]",file.fit
265,2503467895,Carrera de noche,2019-06-28T18:15:23Z,Run,16699.0,3895,3982,100.0,"[51.485554, 5.567993]",file.fit
266,2503468023,Carrera de noche,2019-06-26T18:01:01Z,Run,9020.0,2130,2226,36.0,"[52.224827, 5.196778]",file.fit
267,2503468443,Ciclismo por la tarde,2019-06-23T15:15:59Z,Ride,56553.5,7297,7448,179.0,"[52.232377, 5.1911]",file.fit
268,2503470525,Ciclismo por la mañana,2019-06-23T10:38:23Z,Ride,56937.0,6913,7347,180.0,"[52.372018, 4.53059]",file.fit
269,2470945422,Run,2019-06-22T12:27:18Z,Run,19015.0,4810,4861,100.0,"[52.21928, 5.191872]",file.fit
